Combined Name,Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (g),Sodium (g),Carbs,Fiber,Sugars (g),Protein (g),Weight Watchers Pnts,Weight Watchers Pnts_old
BEVERAGES_Pepsi  (20 fl oz),250,0,0,0,0,0.06,69,0,69,0,5,319
BEVERAGES_Pepsi  (30 fl oz),380,0,0,0,0,0.08,104,0,103,0,7.6,483
BEVERAGES_Sobe Lifewater Yumberry Pomegranate (12 fl oz),0,0,0,0,0,0.05,0,0,0,0,0,0
BEVERAGES_Sobe Lifewater Yumberry Pomegranate (16 fl oz),0,0,0,0,0,0.07,0,0,0,0,0,0
BEVERAGES_Sobe Lifewater Yumberry Pomegranate (20 fl oz),0,0,0,0,0,0.08,0,0,0,0,0,0
BEVERAGES_Sobe Lifewater Yumberry Pomegranate (30 fl oz),5,0,0,0,0,0.12,1,0,0,0,0.1,5
BEVERAGES_Strawberry Lemonade (1/2 Gallon),950,0,0,0,0,0.79,270,0,264,0,19,1214
BEVERAGES_Strawberry Lemonade (20 fl oz),170,0,0,0,0,0.13,45,0,44,0,3.4,214
BEVERAGES_Tropicana  Fruit Punch (12 fl oz),170,0,0,0,0,0.04,45,0,45,0,3.4,215
BEVERAGES_Tropicana  Fruit Punch (16 fl oz),230,0,0,0,0,0.05,60,0,60,0,4.6,290
BEVERAGES_Tropicana  Fruit Punch (20 fl oz),280,0,0,0,0,0.06,75,0,75,0,5.6,355
BEVERAGES_Tropicana  Fruit Punch (30 fl oz),420,0,0,0,0,0.09,113,0,112,0,8.4,532
BEVERAGES_Tropicana  Light Lemonade (12 fl oz),5,0,0,0,0,0.14,0,0,0,0,0.1,5
BEVERAGES_Tropicana  Light Lemonade (16 fl oz),10,0,0,0,0,0.19,0,0,0,0,0.2,10
BEVERAGES_Tropicana  Light Lemonade (20 fl oz),10,0,0,0,0,0.24,0,0,0,0,0.2,10
BEVERAGES_Tropicana  Light Lemonade (30 fl oz),15,0,0,0,0,0.35,1,0,0,0,0.3,15
BEVERAGES_Tropicana  Pink Lemonade (12 fl oz),150,0,0,0,0,0.16,40,0,40,0,3,190
BEVERAGES_Tropicana  Pink Lemonade (16 fl oz),210,0,0,0,0,0.21,53,0,53,0,4.2,263
BEVERAGES_Tropicana  Pink Lemonade (20 fl oz),260,0,0,0,0,0.26,67,0,67,0,5.2,327
BEVERAGES_Tropicana  Pink Lemonade (30 fl oz),390,0,0,0,0,0.39,100,0,100,0,7.8,490
BEVERAGES_Tropicana  Twister  Orange (12 fl oz),170,0,0,0,0,0.04,46,0,46,0,3.4,216
BEVERAGES_Tropicana  Twister  Orange (16 fl oz),230,0,0,0,0,0.05,61,0,61,0,4.6,291
BEVERAGES_Tropicana  Twister  Orange (20 fl oz),290,0,0,0,0,0.06,76,0,76,0,5.8,366
BEVERAGES_Tropicana  Twister  Orange (30 fl oz),430,0,0,0,0,0.09,115,0,114,0,8.6,544
BEVERAGES_Wild Cherry Pepsi  (12 fl oz),160,0,0,0,0,0.03,42,0,42,0,3.2,202
BEVERAGES_Wild Cherry Pepsi  (16 fl oz),210,0,0,0,0,0.04,56,0,56,0,4.2,266
BEVERAGES_Wild Cherry Pepsi  (20 fl oz),260,0,0,0,0,0.05,70,0,70,0,5.2,330
BEVERAGES_Wild Cherry Pepsi  (30 fl oz),390,0,0,0,0,0.08,105,0,105,0,7.8,495
REGIONAL MENU ITEMS_Country Fried Steak without Peppered White Gravy,360,24,7,1,0.04,0.75,22,2,0,13,8.8,354
REGIONAL MENU ITEMS_Country Fried Steak with Peppered White Gravy,390,26,7,1,0.04,0.91,26,2,0,13,9.566666667,384
REGIONAL MENU ITEMS_KFC  Gizzards,300,16,2,0,0.21,0.77,18,0.5,0,20,7.233333333,282
REGIONAL MENU ITEMS_KFC  Livers,230,13,2.5,0,0.29,0.75,12,0,0,17,5.683333333,215.5
